"","LfdNummer","Umfang","Gruppe"
"1",1,37,1
"2",2,80,2
"3",3,68,3
"4",4,77,4
"5",5,47,5
"6",6,58,6
"7",7,98,7
"8",8,60,8
"9",9,39,9
"10",10,39,10
"11",11,54,1
"12",12,58,2
"13",13,66,3
"14",14,48,4
"15",15,45,5
"16",16,38,6
"17",17,49,7
"18",18,36,8
"19",19,47,9
"20",20,74,10
"21",21,33,1
"22",22,38,2
"23",23,51,3
"24",24,58,4
"25",25,64,5
"26",26,57,6
"27",27,64,7
"28",28,62,8
"29",29,74,9
"30",30,73,10
"31",31,82,1
"32",32,6,2
"33",33,10,3
"34",34,49,4
"35",35,61,5
"36",36,27,6
"37",37,51,7
"38",38,31,8
"39",39,20,9
"40",40,64,10
"41",41,57,1
"42",42,72,2
"43",43,62,3
"44",44,22,4
"45",45,36,5
"46",46,79,6
"47",47,35,7
"48",48,25,8
"49",49,62,9
"50",50,82,10
"51",51,34,1
"52",52,49,2
"53",53,49,3
"54",54,42,4
"55",55,36,5
"56",56,90,6
"57",57,54,7
"58",58,56,8
"59",59,57,9
"60",60,61,10
"61",61,60,1
"62",62,50,2
"63",63,47,3
"64",64,42,4
"65",65,57,5
"66",66,43,6
"67",67,14,7
"68",68,41,8
"69",69,71,9
"70",70,24,10
"71",71,65,1
"72",72,69,2
"73",73,21,3
"74",74,49,4
"75",75,65,5
"76",76,29,6
"77",77,79,7
"78",78,50,8
"79",79,44,9
"80",80,39,10
"81",81,62,1
"82",82,66,2
"83",83,40,3
"84",84,72,4
"85",85,48,5
"86",86,61,6
"87",87,53,7
"88",88,51,8
"89",89,57,9
"90",90,26,10
"91",91,44,1
"92",92,62,2
"93",93,58,3
"94",94,65,4
"95",95,68,5
"96",96,47,6
"97",97,93,7
"98",98,38,8
"99",99,55,9
"100",100,41,10
