Volumen	Umfang	Hoehe
0,7458	0,6623	21
0,7458	0,6862	19,5
0,7386	0,7022	18,9
1,1875	0,8379	21,6
1,3613	0,8538	24,3
1,4265	0,8618	24,9
1,1296	0,8778	19,8
1,3179	0,8778	22,5
1,6365	0,8857	24
1,441	0,8937	22,5
1,7524	0,9017	23,7
1,5206	0,9097	22,8
1,5496	0,9097	22,8
1,5424	0,9336	20,7
1,3831	0,9576	22,5
1,6075	1,0294	22,2
2,4475	1,0294	25,5
1,9841	1,0613	25,8
1,861	1,0932	21,3
1,803	1,1012	19,2
2,4982	1,1171	23,4
2,2954	1,1331	24
2,6285	1,157	22,2
2,7734	1,2767	21,6
3,0847	1,3007	23,1
4,0116	1,3805	24,3
4,0333	1,3964	24,6
4,2216	1,4284	24
3,7292	1,4363	24
3,693	1,4363	24
5,5757	1,6438	26,1
