diameter	conc	glucose
21.2	631000	no
21.5	592000	no
21.3	563000	no
21	475000	no
21.5	461000	no
21.3	416000	no
20.3	385000	no
22.7	321000	no
21.5	302000	no
22.2	199000	no
22.6	195000	no
22.5	165000	no
23.3	137000	no
23.5	130000	no
23.4	90000	no
23.6	66000	no
23.9	55000	no
23.6	52000	no
23.6	46000	no
24.5	41000	no
24	38000	no
25.4	34000	no
24.6	32000	no
24.9	30000	no
24.9	28000	no
24.4	21000	no
25.9	20000	no
25.5	16000	no
25.7	14500	no
25.9	13500	no
25.7	11600	no
26.3	11000	no
24	630000	yes
24.2	501000	yes
24.3	332000	yes
24.4	285000	yes
24.1	201000	yes
25.4	175000	yes
25.3	129000	yes
24.5	111000	yes
26	78000	yes
24.9	70000	yes
25.5	69000	yes
26	62000	yes
27.4	35000	yes
26.6	27000	yes
27.3	24000	yes
26.9	22000	yes
27.2	14000	yes
27.4	13000	yes
27.4	11000	yes
