"site","plants","birds","bees","bugs","carabids","spiders","syrphids"
"B-BRE",161,63,38,36,77,107,24
"B-HOE",225,52,40,32,69,74,22
"B-MEE",144,59,15,24,67,73,27
"B-VOE",184,58,36,36,59,67,21
"C-BRO",242,50,63,27,47,68,13
"C-VER",193,47,50,88,60,78,40
"D-FRI",287,63,125,69,73,90,19
"D-MFL",276,66,98,89,83,105,47
"D-QFP",301,50,96,68,72,81,32
"D-WAN",276,58,99,86,78,89,23
"E-ARE",274,51,33,48,69,101,28
"E-VIH",314,55,45,73,82,118,35
"E-VII",345,38,40,52,75,84,32
"E-VMA",267,37,42,75,80,104,31
"F-ALA",252,40,38,58,67,79,23
"F-FOD",152,47,44,60,79,91,20
"F-FOO",237,43,41,56,75,92,17
"H-KLG",297,45,59,104,52,62,26
"H-NUB",282,55,64,88,61,76,53
"H-REE",271,62,62,80,66,91,51
"N-BAL",258,50,16,27,63,74,28
"N-BEN",348,59,32,43,54,77,21
"N-SCH",283,59,23,32,69,74,25
"N-WEE",351,63,22,32,71,73,19
