site;species richness;dev.mode;funct.richness;lat;long;split;loss;frag
Ban;17;Td;9;22,78333;44,35;50,98;41,776;0,717
Bor;27;Td;13;23,63333;45,783333;5,221;2,522;0,202
Cam;20;Td;8;22,6333;45,46667;41,676;46,353;0,537
Int;20;Td;4;24,26667;48,35;5,226;5,434;0,089
Jap;13;Td;5;23,23333;46,96666667;54,47;49,45;0,506
Mog;17;Td;8;23,716667;46,95;31,73;27,795;0,31
Cot;16;Td;7;23,7;47,08333;73,17;66,832;0,763
Pic;22;Td;7;23,3166667;44,81666667;15,287;7,48;0,319
Plc;18;Td;7;23,95;47,683333;30,399;32,867;0,155
Plf;15;Td;6;23,9;47,6833333;64,463;73,959;0,521
Rib;16;Td;4;24,15;48,7;56,935;76,853;1,036
Slp;10;Td;4;23,2166667;45,31666667;91,64;90,033;1,458
Ban;17;Al;8;22,78333;44,35;50,98;41,776;0,717
Bor;27;Al;14;23,63333;45,783333;5,221;2,522;0,202
Cam;20;Al;12;22,6333;45,46667;41,676;46,353;0,537
Int;20;Al;16;24,26667;48,35;5,226;5,434;0,089
Jap;13;Al;8;23,23333;46,96666667;54,47;49,45;0,506
Mog;17;Al;9;23,716667;46,95;31,73;27,795;0,31
Cot;16;Al;9;23,7;47,08333;73,17;66,832;0,763
Pic;22;Al;15;23,3166667;44,81666667;15,287;7,48;0,319
Plc;18;Al;11;23,95;47,683333;30,399;32,867;0,155
Plf;15;Al;9;23,9;47,6833333;64,463;73,959;0,521
Rib;16;Al;12;24,15;48,7;56,935;76,853;1,036
Slp;10;Al;6;23,2166667;45,31666667;91,64;90,033;1,458
