SITE	AREA	DISTX	AGE	RRATTUS	MMUS	PCALIF	PEREM	RMEGAL	NFUSC	NLEPID	PFALLAX	MCALIF
Florida	25	2100	50	0	13	3	1	1	2	0	0	0
Sandmark	84.1	914	20	0	1	57	65	9	16	8	2	3
34street	53.8	1676	34	0	4	36	0	2	9	0	0	0
Balboaterr	51.8	243	34	0	4	53	1	5	30	0	18	3
Katesess	25.6	822	16	0	2	63	21	11	16	0	0	0
Altalajolla	32.1	121	14	0	1	48	35	12	8	12	2	2
Laurel	9.7	1554	79	0	11	0	0	0	0	0	0	0
Canon	8.7	1219	58	0	16	0	0	0	0	0	0	0
Zena	8.5	2865	36	3	8	0	0	0	0	0	0	0
Baja	8.4	670	31	1	2	0	0	0	0	0	0	0
Washington	8.1	365	74	0	9	0	0	0	0	0	0	0
Solanadrive	7.6	550	11	0	3	1	0	5	16	0	7	0
Syracuse	7.5	40	18	0	4	39	0	4	12	0	0	0
32streetsth	6.4	304	56	1	3	0	0	0	0	0	0	0
60th	6.1	2386	37	0	11	0	0	0	0	0	0	0
Juan	6	228	23	0	4	0	0	0	0	0	0	0
Acuna	5.1	662	22	3	0	0	0	0	0	0	0	0
Edison	4.8	61	8	0	2	78	0	10	14	0	4	0
Spruce	4.3	1767	86	0	0	1	0	0	0	0	0	0
Oakcrest	3.9	1000	6	3	0	27	1	0	0	0	0	0
54street	3.6	609	20	2	1	0	0	0	0	0	0	0
Titus	3.5	335	77	0	3	0	0	0	0	0	0	0
Montanosa	1.3	91	2	0	0	0	0	2	8	0	2	0
Elmac	1.1	883	32	1	0	0	0	0	0	0	0	0
32streetnth	0.41	487	77	0	5	0	0	0	0	0	0	0
