"Anzahl" "Vegetationstyp"
"1" "3" "A"
"2" "0" "A"
"3" "0" "A"
"4" "0" "A"
"5" "0" "A"
"6" "1" "A"
"7" "0" "A"
"8" "3" "A"
"9" "0" "A"
"10" "0" "A"
"11" "0" "A"
"12" "0" "A"
"13" "2" "A"
"14" "5" "A"
"15" "6" "A"
"16" "0" "A"
"17" "4" "A"
"18" "7" "A"
"19" "0" "A"
"20" "1" "A"
"21" "0" "A"
"22" "1" "A"
"23" "0" "A"
"24" "0" "A"
"25" "0" "A"
"26" "0" "A"
"27" "10" "A"
"28" "0" "A"
"29" "0" "A"
"30" "0" "A"
"31" "0" "A"
"32" "2" "A"
"33" "0" "A"
"34" "0" "A"
"35" "1" "A"
"36" "1" "A"
"37" "0" "A"
"38" "0" "A"
"39" "0" "A"
"40" "4" "A"
"41" "2" "B"
"42" "3" "B"
"43" "0" "B"
"44" "5" "B"
"45" "9" "B"
"46" "1" "B"
"47" "3" "B"
"48" "1" "B"
"49" "2" "B"
"50" "0" "B"
"51" "5" "B"
"52" "1" "B"
"53" "2" "B"
"54" "5" "B"
"55" "1" "B"
"56" "8" "B"
"57" "1" "B"
"58" "0" "B"
"59" "3" "B"
"60" "0" "B"
"61" "2" "B"
"62" "0" "B"
"63" "0" "B"
"64" "2" "B"
"65" "2" "B"
"66" "1" "B"
"67" "5" "B"
"68" "1" "B"
"69" "0" "B"
"70" "0" "B"
"71" "0" "B"
"72" "3" "B"
"73" "4" "B"
"74" "2" "B"
"75" "3" "B"
"76" "6" "B"
"77" "2" "B"
"78" "4" "B"
"79" "1" "B"
"80" "1" "B"
