temperature	thermal.time			
25	122.565			
24	126.6744			
23	112.9185			
22	116.2392			
20	118.544			
19	117.857			
18	122.4468			
16	109.7904			
14	97.4428			
12	83.7096			
10	69.643			
7	53.3064			
5	45.3335			
2	19.8516			
25	149.795			
24	122.508			
23	133.1654			
22	124.4386			
20	143.664			
19	132.9487			
18	130.2624			
16	113.7184			
14	107.8854			
12	94.6104			
10	75.932			
7	68.8919			
5	52.5705			
2	24.9288			
25	134.0225			
24	152.112			
23	140.4978			
22	126.4604			
20	143.904			
19	129.105			
18	108.0324			
16	108.8112			
14	111.853			
12	98.3724			
10	99.813			
7	67.844			
5	60.497			
2	29.2866			
