lakes	before	after	
1	19.508582	20.508582	
2	5.297289	7.297289	
3	26.495652	27.495652	
4	3.92825	5.92825	
5	12.955881	15.955881	
6	09.776376	15.776376	
7	16.258168	18.258168	
8	12.561268	15.561268	
9	15.696103	16.696103	
10	16.508582	18.508582	
11	2.297289	5.297289	
12	23.495652	25.495652	
13	0.92825	1.92825	
14	9.955881	11.955881	
15	11.776376	14.776376	
16	13.258168	15.258168	
17	9.561268	8.1	
18	12.696103	13.696103	
19	13.508582	15.508582	
20	21.508582	22.508582	
21	7.297289	9.297289	
22	28.495652	31.495652	
23	5.92825	6.92825	
24	14.955881	16.955881	
25	16.776376	19.776376	
26	18.258168	19.258168	
27	14.561268	16.561268	
28	17.696103	20.696103	
29	19.508582	26.508582	
30	10.297289	11.297289	
31	31.495652	33.495652	
32	8.92825	11.92825	
33	17.955881	19.955881	
34	19.776376	20.776376	
35	21.258168	17.3	
36	17.561268	19.561268	
37	20.696103	21.696103	
38	21.508582	23.508582	
39	7.297289	10.297289	
40	28.495652	29.495652	
41	5.92825	7.92825	
42	14.955881	17.955881	
43	16.776376	17.776376	
44	18.258168	20.258168	
45	14.561268	17.561268	
46	17.696103	19.696103	
47	18.508582	19.508582	
48	26.508582	28.508582	
49	12.297289	15.297289	
50	33.495652	35.495652	
51	10.92825	11.92825	
52	19.955881	20.955881	
53	21.776376	16.5	
54	15.258168	24.258168	
55	19.561268	21.561268	
56	22.696103	25.696103	
57	29.508582	30.508582	
58	15.297289	17.297289	
59	36.495652	39.495652	
60	13.92825	14.92825	
61	22.955881	24.955881	
62	24.776376	27.776376	
63	26.258168	28.258168	
64	22.561268	23.561268	
65	25.696103	27.696103	
66	26.508582	29.508582	
67	12.297289	22.35	
68	33.495652	34.495652	
69	10.92825	11.92825	
70	19.955881	21.955881	
71	21.776376	22.776376	
72	23.258168	25.258168	
73	19.561268	22.561268	
74	22.696103	23.696103	
75	23.508582	25.508582	
76	31.508582	34.508582	
77	17.297289	18.297289	
78	38.495652	40.495652	
79	15.92825	23.5	
80	24.955881	26.955881	
81	26.776376	27.776376	
82	28.258168	30.258168	
83	24.561268	27.561268	
84	27.696103	29.696103	
85	34.508582	35.508582	
86	20.297289	21.297289	
87	41.495652	43.495652	
88	18.92825	19.92825	
89	27.955881	29.955881	
90	22.776376	32.776376	
91	31.258168	32.258168	
92	27.561268	29.561268	
93	30.696103	33.696103	
94	31.508582	32.508582	
95	17.297289	19.297289	
96	38.495652	41.495652	
97	15.92825	17.92825	
98	24.955881	25.955881	
99	26.776376	28.776376	
100	28.258168	31.258168	
101	24.561268	29.3	
102	27.696103	28.696103	
103	28.508582	29.508582	
104	36.508582	38.508582	
105	22.297289	23.297289	
106	43.495652	45.495652	
107	20.92825	23.92825	
108	29.955881	30.955881	
109	31.776376	33.776376	
110	33.258168	36.258168	
111	29.561268	30.561268	
112	32.696103	34.696103	
113	35.3	42.508582	
114	25.297289	27.297289	
115	46.495652	47.495652	
116	23.92825	25.92825	
117	32.955881	35.955881	
118	34.776376	41.2	
119	36.258168	37.258168	
120	32.561268	33.561268	
121	35.696103	37.696103	
