"dataID" "beetles" "precipitation" "altitude" "temperature" "minTemp" "region" "plot" "year" "technician" "spatialCoordinate"
"1" 1 0 0.18488225992769 0 11.4292862056755 -7.17211249740565 1 1 1 1 0
"2" 2 0 0.702374035958201 0 9.52104220539331 -7.61495857629183 1 1 2 3 0
"3" 3 0 0.573326334822923 0 13.0851135395933 -9.75650551127408 1 1 3 5 0
"4" 4 0 0.168051920365542 0 12.294063730631 -7.59024699876041 1 1 4 2 0
"5" 5 0 0.943839338840917 0 10.234323131619 -12.2583237856502 1 1 5 2 0
"6" 6 0 0.943474958650768 0 9.68669757433236 -8.6417871616761 1 1 6 3 0
"7" 7 0 0.129158976720646 0 11.2697128087748 -9.06659531756485 1 1 7 5 0
"8" 8 0 0.833448815625161 0 13.7755909874104 -9.09732207642267 1 1 8 1 0
"9" 9 0 0.468018515501171 0 12.4601444664877 -8.94407531658029 1 1 9 5 0
"10" 10 0 0.54998374171555 0 11.2041340700816 -5.66159577514197 1 1 10 1 0
"11" 11 0 0.55267406697385 0 13.9144885113928 -6.07559380287013 1 1 11 1 0
"12" 12 0 0.23889475944452 0 11.1363288785797 -5.6337350491405 1 1 12 4 0
"13" 13 0 0.760513313114643 0 10.3458502555732 -7.97971924820973 1 1 13 1 0
"14" 14 2 0.180820100707933 0 11.3254092705902 -6.59868798248548 1 1 14 4 0
"15" 15 3 0.405282181221992 0 14.0319536069874 -3.99472419669262 1 1 15 5 0
"16" 16 0 0.853548452956602 0 10.0007914376911 -10.980321097487 1 1 16 2 0
"17" 17 0 0.976398489437997 0 9.65481514926068 -11.2587973318024 1 1 17 5 0
"18" 18 0 0.225825461093336 0 10.5006069561932 -14.1641197745299 1 1 18 4 0
"19" 19 0 0.444809229113162 0 14.2014062644448 -1.38771043761197 1 1 19 4 0
"20" 20 0 0.0749794247094542 0 10.1885825891513 -9.32441406028407 1 1 20 1 0
"21" 21 0 0.661898758495227 0.0204081632653061 9.54812102281127 -11.3343217719758 1 2 1 4 0.612244897959184
"22" 22 2 0.387549542589113 0.0204081632653061 13.440886005113 -3.9907804201875 1 2 2 4 0.612244897959184
"23" 23 0 0.836889176862314 0.0204081632653061 11.8225264833831 -9.89562214097245 1 2 3 2 0.612244897959184
"24" 24 0 0.150501440744847 0.0204081632653061 11.0142761820984 -9.49816021887655 1 2 4 4 0.612244897959184
"25" 25 0 0.34727224893868 0.0204081632653061 9.8293123755661 -11.3889041358631 1 2 5 1 0.612244897959184
"26" 26 1 0.488773231394589 0.0204081632653061 13.1985859510546 -2.8095837652605 1 2 6 1 0.612244897959184
"27" 27 0 0.149246862856671 0.0204081632653061 14.6544943964631 -9.43918171964826 1 2 7 1 0.612244897959184
"28" 28 0 0.357062590075657 0.0204081632653061 10.6828876189479 -5.02389979566755 1 2 8 2 0.612244897959184
"29" 29 0 0.962644048267975 0.0204081632653061 11.9952751829346 -4.68494499093175 1 2 9 1 0.612244897959184
"30" 30 3 0.132372003281489 0.0204081632653061 13.8838855857552 -2.27270539631955 1 2 10 5 0.612244897959184
"31" 31 5 0.0104145254008472 0.0204081632653061 13.2254834208229 -6.71935025947765 1 2 11 4 0.612244897959184
"32" 32 1 0.164642242016271 0.0204081632653061 11.5242194156685 -6.51443284804443 1 2 12 2 0.612244897959184
"33" 33 0 0.810192144475877 0.0204081632653061 13.8947745583077 -1.92034700672137 1 2 13 3 0.612244897959184
"34" 34 0 0.868861036840826 0.0204081632653061 13.2980239971598 -5.83633297732418 1 2 14 3 0.612244897959184
"35" 35 0 0.514281762996688 0.0204081632653061 13.050857855525 -3.88318421729397 1 2 15 5 0.612244897959184
"36" 36 3 0.627196286572143 0.0204081632653061 12.868267180916 -8.12000570390676 1 2 16 1 0.612244897959184
"37" 37 0 0.844429003074765 0.0204081632653061 11.508668700751 -14.6654219235021 1 2 17 3 0.612244897959184
"38" 38 0 0.284870574250817 0.0204081632653061 9.63810716108989 -6.82368370118429 1 2 18 3 0.612244897959184
"39" 39 1 0.667225647717714 0.0204081632653061 13.1668709326127 -3.59231195385141 1 2 19 4 0.612244897959184
"40" 40 0 0.150469752028584 0.0204081632653061 10.1142697358095 -4.75186788685628 1 2 20 3 0.612244897959184
"41" 41 0 0.981727862264961 0.0408163265306122 11.5715991979113 -10.1864679847767 1 3 1 1 1.22448979591837
"42" 42 0 0.297010735142976 0.0408163265306122 12.9436253105404 -11.3942963400602 1 3 2 4 1.22448979591837
"43" 43 7 0.115084075368941 0.0408163265306122 13.6053829778566 -8.84058103594516 1 3 3 5 1.22448979591837
"44" 44 1 0.163200871786103 0.0408163265306122 13.3727624191551 -6.25395205214264 1 3 4 4 1.22448979591837
"45" 45 0 0.944041808135808 0.0408163265306122 12.1035255730266 -10.5844527413113 1 3 5 3 1.22448979591837
"46" 46 0 0.794863823568448 0.0408163265306122 11.5294092026188 -10.0281700822143 1 3 6 1 1.22448979591837
"47" 47 0 0.974687897600234 0.0408163265306122 11.5639216081353 -10.1213576450837 1 3 7 4 1.22448979591837
"48" 48 1 0.349088410614058 0.0408163265306122 13.9069569617158 -7.32225169195646 1 3 8 5 1.22448979591837
"49" 49 2 0.501969880890101 0.0408163265306122 11.5467716863959 -4.64315385532355 1 3 9 4 1.22448979591837
"50" 50 0 0.810397262685001 0.0408163265306122 13.9358733616418 -4.54123766025042 1 3 10 3 1.22448979591837
"51" 51 10 0.00710903806611896 0.0408163265306122 13.5411900755598 -8.10299695613849 1 3 11 5 1.22448979591837
"52" 52 5 0.0146939109545201 0.0408163265306122 11.5704562939818 -8.59278826032865 1 3 12 5 1.22448979591837
"53" 53 0 0.683403422823176 0.0408163265306122 13.3267012269816 -9.5977789208093 1 3 13 1 1.22448979591837
"54" 54 0 0.929720221785828 0.0408163265306122 12.3896150657556 -12.1472421448859 1 3 14 4 1.22448979591837
"55" 55 0 0.27540119853802 0.0408163265306122 12.0776612645595 -12.1098031988458 1 3 15 1 1.22448979591837
"56" 56 0 0.811859695473686 0.0408163265306122 9.15505153905809 -13.1245031598329 1 3 16 3 1.22448979591837
"57" 57 0 0.785878912778571 0.0408163265306122 13.7707765028926 -7.02337397260536 1 3 17 2 1.22448979591837
"58" 58 0 0.988902155542746 0.0408163265306122 11.0288441617622 -11.5233713049809 1 3 18 1 1.22448979591837
"59" 59 2 0.613952909596264 0.0408163265306122 11.7452513394991 -7.59731848879553 1 3 19 5 1.22448979591837
