pot	comp	nematodes	block	Artemisia
1	0	0	1	12.572
2	0	0	2	15.71
3	0	0	3	18.17
4	0	0	4	19.957
5	0	0	5	13.26
6	0	0	6	18.88
7	0	0	7	16.86
8	0	0	8	7.332
9	0	0	10	13.21
10	0	0	12	19.85
11	0	0	14	11.58
12	0	1	15	20.28
13	0	1	2	NA
14	0	1	3	10.79
15	0	1	4	NA
16	0	1	13	10.789
17	0	1	6	20.949
18	0	1	11	16.13
19	0	1	8	8.34
20	0	1	9	11.728
21	0	1	16	15.71
22	1	0	1	5.517
23	1	0	2	1.11
24	1	0	3	2.699
25	1	0	4	1.305
26	1	0	5	2.812
27	1	0	6	2.86
28	1	0	7	2.236
29	1	0	8	1.453
30	1	0	9	1.965
31	1	0	10	1.377
32	1	0	11	0.833
33	1	0	12	2.802
34	1	0	13	1.143
35	1	0	14	1.125
36	1	0	15	1.215
37	1	0	16	2.653
38	1	1	1	1.986
39	1	1	2	1.159
40	1	1	3	2.856
41	1	1	4	1.158
42	1	1	5	2.889
43	1	1	6	1.755
44	1	1	7	3.12
45	1	1	8	1.108
46	1	1	9	3.798
47	1	1	10	1.49
48	1	1	11	2.934
49	1	1	12	2.317
50	1	1	13	1.578
51	1	1	14	1.736
52	1	1	15	1.918
53	1	1	16	2.055
