Block,treat,Treat,year,plot,N.of.Ind,S,H,J,Hstr,ba,vol
5,T0,C,1983,504,121,57,3.652104913,0.903304131,2.022476018,7.6715,85.31294454
5,T0,C,1983,505,121,57,3.763466825,0.930848158,1.899626051,7.4713,83.01983058
5,T0,C,1983,506,123,62,3.824818953,0.926749312,1.880608816,7.549,84.84652136
5,T0,C,1983,508,108,56,3.518066952,0.873977536,2.012053049,6.2843,68.29233703
5,T0,C,1983,509,132,69,3.912662445,0.924082198,1.882119976,7.2502,78.36877885
5,T0,C,1983,512,122,67,3.960769772,0.941987948,1.817580224,6.1847,65.38414882
5,T0,C,1987,504,122,59,3.666702506,0.899244349,2.016370914,8.1154,91.66943397
5,T0,C,1987,505,125,60,3.829489356,0.93531194,1.887020502,7.7794,86.69396493
5,T0,C,1987,506,123,64,3.875395618,0.931835673,1.918262403,7.4218,82.71613241
5,T0,C,1987,508,117,63,3.622198812,0.874265273,2.004050358,6.7472,73.40683872
5,T0,C,1987,509,133,68,3.832630235,0.908312178,1.926720846,7.114,76.74188503
5,T0,C,1987,512,121,68,3.972808575,0.94153367,1.849797549,6.5024,69.52493154
5,T0,C,1989,504,120,58,3.665221767,0.902665487,1.985295237,7.7924,87.51480159
5,T0,C,1989,505,122,58,3.779437089,0.93079427,1.731849969,7.0899,77.54126405
5,T0,C,1989,506,124,64,3.867895849,0.93003236,1.924118951,7.6264,85.14449156
5,T0,C,1989,508,120,65,3.660103144,0.876800092,1.984192701,6.9605,76.01905856
5,T0,C,1989,509,124,64,3.780955355,0.90912759,1.927792014,6.9734,76.11761231
5,T0,C,1989,512,124,69,3.987890813,0.941849433,1.825969151,6.7531,72.53652926
5,T0,C,1995,504,119,58,3.662533615,0.902003453,1.994021525,8.1571,92.59455275
5,T0,C,1995,505,129,60,3.757018463,0.917611697,1.771286646,6.4739,68.86058836
5,T0,C,1995,506,121,67,3.936921524,0.936316131,1.914955874,6.3126,67.0118742
5,T0,C,1995,508,121,69,3.762306621,0.88857156,2.011501467,7.2029,79.13294314
5,T0,C,1995,509,126,62,3.72905273,0.903545265,1.872127534,7.1661,78.30014428
5,T0,C,1995,512,118,64,3.915863546,0.941566153,1.896698423,6.8934,75.53509164
5,T0,C,2003,504,115,51,3.509653561,0.89262696,2.052808947,8.419,96.65724153
5,T0,C,2003,505,131,61,3.778138037,0.919059587,1.658311543,6.6675,70.7527558
5,T0,C,2003,506,127,69,3.971861087,0.938063576,1.903909546,7.1473,77.02574897
5,T0,C,2003,508,124,69,3.714204014,0.877210814,1.890478732,7.751,86.25814232
5,T0,C,2003,509,128,62,3.73679204,0.905420491,1.865609819,7.3423,80.62467587
5,T0,C,2003,512,118,65,3.929437366,0.941320752,1.877466313,6.8078,74.5085856
5,T0,C,2008,504,109,49,3.481221848,0.894497069,1.996755739,8.7136,101.512342
5,T0,C,2008,505,129,62,3.80022348,0.920789857,1.673562401,7.033,76.33896913
5,T0,C,2008,506,120,63,3.897634519,0.9407453,2.025622927,7.482,82.3361837
5,T0,C,2008,508,125,70,3.73316534,0.878702959,1.977646555,8.2877,93.44151531
5,T0,C,2008,509,126,63,3.818231697,0.921580385,1.884464365,7.2783,80.6336629
5,T0,C,2008,512,122,69,4.012966544,0.947771753,1.884429753,7.0476,76.97399225
