Block,Treat,year,plot,ba
5,C,1983,504,7.67
5,C,1983,505,7.47
5,C,1983,506,7.55
5,C,1983,508,6.28
5,C,1983,509,7.25
5,C,1983,512,6.18
5,C,1987,504,8.12
5,C,1987,505,7.78
5,C,1987,506,7.42
5,C,1987,508,6.75
5,C,1987,509,7.11
5,C,1987,512,6.5
5,C,1989,504,7.79
5,C,1989,505,7.09
5,C,1989,506,7.63
5,C,1989,508,6.96
5,C,1989,509,6.97
5,C,1989,512,6.75
5,C,1995,504,8.16
5,C,1995,505,6.47
5,C,1995,506,6.31
5,C,1995,508,7.2
5,C,1995,509,7.17
5,C,1995,512,6.89
5,C,2003,504,8.42
5,C,2003,505,6.67
5,C,2003,506,7.15
5,C,2003,508,7.75
5,C,2003,509,7.34
5,C,2003,512,6.81
5,C,2008,504,8.71
5,C,2008,505,7.03
5,C,2008,506,7.48
5,C,2008,508,8.29
5,C,2008,509,7.28
5,C,2008,512,7.05
5,C,2012,504,8.61
5,C,2012,505,6.69
5,C,2012,506,7.26
5,C,2012,508,8.13
5,C,2012,509,7.47
5,C,2012,512,6.83
1,L,1983,110,5.08
1,L,1983,111,4.77
1,L,1983,112,3.88
2,L,1983,204,4.97
2,L,1983,205,6.98
2,L,1983,206,6.32
3,L,1983,304,5.34
3,L,1983,305,6.86
3,L,1983,306,5.81
4,L,1983,401,5.45
1,L,1987,110,5.51
1,L,1987,111,4.01
1,L,1987,112,4.16
2,L,1987,204,5.33
2,L,1987,205,7.58
2,L,1987,206,6.65
3,L,1987,304,6.11
3,L,1987,305,7.15
3,L,1987,306,6.43
4,L,1987,401,6.19
1,L,1989,110,5.72
1,L,1989,111,4.9
1,L,1989,112,4.37
2,L,1989,204,6.08
2,L,1989,205,8.13
2,L,1989,206,7.2
3,L,1989,304,6.87
3,L,1989,305,7.28
3,L,1989,306,6.66
4,L,1989,401,6.72
1,L,1995,110,5.76
1,L,1995,111,5.91
1,L,1995,112,4.74
2,L,1995,204,6.54
2,L,1995,205,9.26
2,L,1995,206,8.13
3,L,1995,304,7.88
3,L,1995,305,6.53
3,L,1995,306,6.83
4,L,1995,401,7.12
1,L,2003,110,6.17
1,L,2003,111,5.96
1,L,2003,112,5.36
2,L,2003,204,6.04
2,L,2003,205,9.03
2,L,2003,206,7.62
3,L,2003,304,8.73
3,L,2003,305,7.5
3,L,2003,306,7.29
4,L,2003,401,6.91
1,L,2008,110,5.77
1,L,2008,111,6.29
1,L,2008,112,5.79
2,L,2008,204,6.36
2,L,2008,205,9.3
2,L,2008,206,7.98
3,L,2008,304,9.23
3,L,2008,305,8.2
3,L,2008,306,7.79
4,L,2008,401,7.76
1,L,2012,110,6.03
1,L,2012,111,5.57
1,L,2012,112,5.6
2,L,2012,204,5.79
2,L,2012,205,8.86
2,L,2012,206,7.81
3,L,2012,304,9.34
3,L,2012,305,6.98
3,L,2012,306,8.1
4,L,2012,401,7.34
2,LLTI,1983,207,7.22
2,LLTI,1983,208,5.86
2,LLTI,1983,209,5.43
3,LLTI,1983,303,4.38
4,LLTI,1983,407,6.54
4,LLTI,1983,408,6.8
4,LLTI,1983,409,4.95
2,LLTI,1987,207,7.66
2,LLTI,1987,208,6.08
2,LLTI,1987,209,6.07
3,LLTI,1987,303,4.73
4,LLTI,1987,407,6.77
4,LLTI,1987,408,7.33
4,LLTI,1987,409,5.47
2,LLTI,1989,207,8.12
2,LLTI,1989,208,6.33
2,LLTI,1989,209,6.29
3,LLTI,1989,303,5.21
4,LLTI,1989,407,7.17
4,LLTI,1989,408,7.23
4,LLTI,1989,409,5.76
2,LLTI,1995,207,8.6
2,LLTI,1995,208,6.32
2,LLTI,1995,209,6.7
3,LLTI,1995,303,5.83
4,LLTI,1995,407,7.31
4,LLTI,1995,408,7.37
4,LLTI,1995,409,6.04
2,LLTI,2003,207,9.3
2,LLTI,2003,208,5.93
2,LLTI,2003,209,7.34
3,LLTI,2003,303,6.31
4,LLTI,2003,407,7.88
4,LLTI,2003,408,8.33
4,LLTI,2003,409,6.32
2,LLTI,2008,207,9.84
2,LLTI,2008,208,6.19
2,LLTI,2008,209,7.73
3,LLTI,2008,303,6.95
4,LLTI,2008,407,8.62
4,LLTI,2008,408,8.85
4,LLTI,2008,409,7.01
2,LLTI,2012,207,10.05
2,LLTI,2012,208,5.97
2,LLTI,2012,209,6.98
3,LLTI,2012,303,5.24
4,LLTI,2012,407,8.62
4,LLTI,2012,408,8.43
4,LLTI,2012,409,7.2
