Fruit	Grazing
59.77	Ungrazed
60.98	Ungrazed
14.73	Ungrazed
19.28	Ungrazed
34.25	Ungrazed
35.53	Ungrazed
87.73	Ungrazed
63.21	Ungrazed
24.25	Ungrazed
64.34	Ungrazed
52.92	Ungrazed
32.35	Ungrazed
53.61	Ungrazed
54.86	Ungrazed
64.81	Ungrazed
73.24	Ungrazed
80.64	Ungrazed
18.89	Ungrazed
75.49	Ungrazed
46.73	Ungrazed
116.05	Grazed
38.94	Grazed
60.77	Grazed
84.37	Grazed
70.11	Grazed
14.95	Grazed
70.7	Grazed
80.31	Grazed
82.35	Grazed
105.07	Grazed
73.79	Grazed
50.08	Grazed
78.28	Grazed
41.48	Grazed
98.47	Grazed
40.15	Grazed
52.26	Grazed
46.64	Grazed
71.01	Grazed
83.03	Grazed

