team	weight
X1	250
X1	255
X1	255
X1	264
X1	250
X1	265
X1	245
X1	252
X1	266
X1	246
X1	251
X1	263
X1	248
X1	228
X1	221
X1	223
X1	220
X2	260
X2	271
X2	258
X2	263
X2	267
X2	254
X2	255
X2	250
X2	248
X2	240
X2	254
X2	275
X2	270
X2	225
X2	222
X2	230
X2	225
X3	270
X3	250
X3	281
X3	273
X3	257
X3	264
X3	233
X3	254
X3	268
X3	252
X3	256
X3	265
X3	252
X3	256
X3	235
X3	216
X3	241
X4	260
X4	255
X4	265
X4	257
X4	268
X4	263
X4	247
X4	253
X4	251
X4	252
X4	266
X4	264
X4	210
X4	236
X4	225
X4	230
X4	232
X5	247
X5	249
X5	255
X5	247
X5	244
X5	245
X5	249
X5	260
X5	217
X5	208
X5	228
X5	253
X5	249
X5	223
X5	221
X5	228
X5	271
