Habitat	Fugus.yield
Birch	20.83829053
Birch	22.9718181
Birch	22.28216829
Birch	24.23136797
Birch	22.32147961
Birch	20.30783598
Birch	24.31375405
Birch	21.43514256
Birch	20.59168543
Birch	21.99926501
Oak	27.24047258
Oak	29.7730014
Oak	30.12608508
Oak	25.76088669
Oak	30.14750974
Oak	26.1724612
Oak	26.22070019
Oak	30.97588139
Oak	27.61038561
Oak	29.07634265
Hornbeam	17.05307949
Hornbeam	15.32805111
Hornbeam	18.26920177
Hornbeam	21.30987049
Hornbeam	21.7173223
Hornbeam	19.3015566
Hornbeam	17.0666911
Hornbeam	20.45256666
Hornbeam	16.13644955
Hornbeam	19.55030789
Ash	8.582681991
Ash	11.40907454
Ash	10.42302388
Ash	10.4194491
Ash	11.31154665
Ash	15.60154965
Ash	9.721049848
Ash	10.33250422
Ash	12.42585873
Ash	15.26053159
