Growth.rate	Water
2.919085587	Tyne
2.49290403	Tyne
3.021804251	Tyne
2.350874335	Tyne
3.148173559	Tyne
4.423852931	Tyne
4.870958803	Tyne
3.897731347	Tyne
5.830881925	Tyne
2.3027171	Tyne
3.195969626	Tyne
2.829021095	Tyne
3.027499621	Tyne
5.285108403	Tyne
4.260954913	Tyne
4.049527754	Tyne
4.623400317	Tyne
5.625844909	Tyne
2.634182102	Tyne
3.513746393	Tyne
3.714657446	Tyne
3.862106084	Tyne
3.955181039	Tyne
3.044307782	Tyne
3.358051334	Tyne
5.633479467	Tyne
4.613174755	Tyne
2.200592859	Tyne
2.233799598	Tyne
3.357183631	Tyne
3.111763697	Tyne
4.842597624	Tyne
4.36259229	Tyne
2.23021006	Tyne
3.104322517	Tyne
4.762764289	Tyne
2.319406055	Wear
2.098190677	Wear
3.541968991	Wear
3.888784107	Wear
3.960037772	Wear
5.742290286	Wear
5.244230091	Wear
4.795048308	Wear
5.380755443	Wear
3.610532158	Wear
2.24765071	Wear
3.388947185	Wear
4.061629942	Wear
5.478983004	Wear
4.303407161	Wear
3.973059861	Wear
4.632224111	Wear
5.284316226	Wear
2.480983544	Wear
3.950709949	Wear
2.133731304	Wear
5.586468488	Wear
6.918344272	Wear
5.270420973	Wear
2.015706722	Wear
3.467041808	Wear
5.028927385	Wear
2.3071735	Wear
2.96227354	Wear
2.69976154	Wear
6.569411852	Wear
6.405129788	Wear
5.990972601	Wear
2.553241161	Wear
2.592765531	Wear
1.761603478	Wear
