year	NumbMDSpring	TotalMDFall	Fw:FrationFall	BadlandsCoyote/1000kmsq	WSI	Average_preci_winter	Average_snowfall_winter	Average_snowdepth_winter	Average_maxtemp_winter	Average_mintemp_winter	Average_NP_winter	Average_PDO_winter	Average_MEI_winter
1962	398	264	0.973214286	24.3853817	109.5	7.34	69.6	28.78156682	0.756273425	-16.08749309	10.684	-1.68	14
1963	409	352	1.52892562	8.128460565	82	14.7	99.2	22.62219662	3.990095238	-11.70364055	7.466	-0.472	18
1964	473	543	1.219047619	8.128460565	102.5	2.98	90	32.34682981	3.825138302	-12.8404086	9.076	-0.846	42.25
1965	467	546	0.826086957	8.128460565	158	14.22	193	201.150384	-2.346294931	-16.55878955	9.884	-0.936	23.75
1966	459	488	1.240437158	43.35178968	110	13.18	128.4	66.25453149	2.726605223	-12.94432412	11.274	-0.534	56.75
1967	361	549	1.230769231	27.09486855	115	13.82	234.8	34.59947773	2.310296467	-11.39476498	10.958	-0.61	19.75
1968	348	579	1.301369863	10.83794742	102	7.66	86.4	37.12439748	3.325716722	-11.75615202	9.018	-0.422	20.25
1969	480	533	1.35978836	27.09486855	156	12.4	145	216.8746544	-2.06790169	-14.28593702	10.83	-0.884	46.75
1970	565	700	1.381974249	38.38439711	140.5	9.84	109.6	98.45075269	1.676204301	-12.02296621	5.734	0.78	42.75
1971	564	663	1.31512605	33.86858569	132	15.2	154.6	156.429616	-0.421030722	-12.36026267	11.482	-1.418	3.75
1972	732	654	1.376623377	41.69175196	135	11	120.25	73.30486652	-0.715947313	-13.25580171	11.836	-1.806	21.25
1973	699	905	1.267857143	48.94249143	70.5	15.22	135.4	39.91574501	2.990651306	-10.34283871	9.514	-0.266	58.75
1974	862	870	1.330218069	63.44397037	99	10.24	89.6	17.41290323	2.885183347	-11.8150128	9.06	-1.268	1.25
1975	912	924	1.297994269	36.25369736	129	14.18	212.6	30.51572965	2.574701997	-11.61463134	10.026	-0.35	17.75
1976	788	400	1.201219512	89.02080807	88	12.48	131.6	60.26086022	3.761147942	-10.50611643	10.092	-1.528	4.5
1977	862	737	1.227891156	74.45490738	108	10.02	118.6	56.51557604	2.410941628	-12.54906759	5.954	1.19	41.5
1978	1027	859	1.172131148	52.56786117	193.5	14.18	202.4	202.7651152	-2.274729647	-14.71008841	6.492	0.344	52.5
1979	859	572	1.254237288	50.7551763	199	13.2	191.2	133.1563057	-3.016571037	-16.32021452	10.552	-0.422	41
1980	906	763	1.318493151	47.27778084	106	7.2	89	9.071745325	3.634178552	-11.34371095	7.686	0.472	50
